"","Country","Observations","Temp"
"103","Croatia","Dec",1.4
"104","Croatia","Year",10.7
"105","Cyprus","Jan",10.6
"106","Cyprus","Feb",10.6
"107","Cyprus","Mar",13.1
"108","Cyprus","Apr",17.1
"109","Cyprus","May",22.3
"110","Cyprus","Jun",26.9
"111","Cyprus","Jul",29.7
"112","Cyprus","Aug",29.4
"113","Cyprus","Sep",26.2
"114","Cyprus","Oct",22.3
"115","Cyprus","Nov",16.3
"116","Cyprus","Dec",12
"117","Cyprus","Year",19.7
"118","Czech Republic","Jan",-1.4
"119","Czech Republic","Feb",-0.4
"120","Czech Republic","Mar",3.6
"121","Czech Republic","Apr",8.4
"122","Czech Republic","May",13.4
"123","Czech Republic","Jun",16.1
"124","Czech Republic","Jul",18.2
"125","Czech Republic","Aug",17.8
"126","Czech Republic","Sep",13.5
"127","Czech Republic","Oct",8.5
"128","Czech Republic","Nov",3.1
"129","Czech Republic","Dec",-0.3
"130","Czech Republic","Year",8.4
"131","Denmark","Jan",1.4
"132","Denmark","Feb",1.4
"133","Denmark","Mar",3.5
"134","Denmark","Apr",7.7
"135","Denmark","May",12.5
"136","Denmark","Jun",15.6
"137","Denmark","Jul",18.1
"138","Denmark","Aug",17.7
"139","Denmark","Sep",13.9
"140","Denmark","Oct",9.8
"141","Denmark","Nov",5.5
"142","Denmark","Dec",2.5
"143","Denmark","Year",9.1
"144","Estonia","Jan",-2.9
"145","Estonia","Feb",-3.6
"146","Estonia","Mar",-0.6
"147","Estonia","Apr",4.8
"148","Estonia","May",10.2
"149","Estonia","Jun",14.5
"150","Estonia","Jul",17.6
"151","Estonia","Aug",16.5
"152","Estonia","Sep",12
"153","Estonia","Oct",6.5
"154","Estonia","Nov",2
"155","Estonia","Dec",-0.9
"156","Estonia","Year",6.4
"157","Finland","Jan",-3.9
"158","Finland","Feb",-4.7
"159","Finland","Mar",-1.3
"160","Finland","Apr",3.9
"161","Finland","May",10.2
"162","Finland","Jun",14.6
"163","Finland","Jul",17.8
"164","Finland","Aug",16.3
"165","Finland","Sep",11.5
"166","Finland","Oct",6.6
"167","Finland","Nov",1.6
"168","Finland","Dec",-2
"169","Finland","Year",5.9
"170","France","Jan",7.1
"171","France","Feb",7.8
"172","France","Mar",10.7
"173","France","Apr",13
"174","France","May",16.6
"175","France","Jun",19.8
"176","France","Jul",21.7
"177","France","Aug",21.9
"178","France","Sep",18.8
"179","France","Oct",15.2
"180","France","Nov",10.4
"181","France","Dec",7.7
"182","France","Year",14.2
"183","France.1","Jan",4.9
"184","France.1","Feb",5.6
"185","France.1","Mar",8.8
"186","France.1","Apr",11.4
"187","France.1","May",15.1
"188","France.1","Jun",18.2
"189","France.1","Jul",20.4
"190","France.1","Aug",20.2
"191","France.1","Sep",16.9
"192","France.1","Oct",12.9
"193","France.1","Nov",8.1
"194","France.1","Dec",5.4
"195","France.1","Year",12.3
"196","Germany","Jan",0.6
"197","Germany","Feb",2.3
"198","Germany","Mar",5.1
"199","Germany","Apr",10.2
"200","Germany","May",14.8
"201","Germany","Jun",17.9
"202","Germany","Jul",20.3
"203","Germany","Aug",19.7
"204","Germany","Sep",15.3
"205","Germany","Oct",10.5
"206","Germany","Nov",6
"207","Germany","Dec",1.3
"208","Germany","Year",10.3
"209","Greece","Jan",10.2
"210","Greece","Feb",10.9
"211","Greece","Mar",13.2
"212","Greece","Apr",16.9
"213","Greece","May",21.8
"214","Greece","Jun",26.6
"215","Greece","Jul",29.3
"216","Greece","Aug",29.3
"217","Greece","Sep",25
"218","Greece","Oct",20.1
"219","Greece","Nov",15.5
"220","Greece","Dec",11.5
"221","Greece","Year",19.2
"222","Hungary","Jan",0.4
"223","Hungary","Feb",2.3
"224","Hungary","Mar",6.1
"225","Hungary","Apr",12
"226","Hungary","May",16.6
"227","Hungary","Jun",19.7
"228","Hungary","Jul",21.5
"229","Hungary","Aug",21.2
"230","Hungary","Sep",16.9
"231","Hungary","Oct",11.8
"232","Hungary","Nov",5.4
"233","Hungary","Dec",1.8
"234","Hungary","Year",11.3
"235","Iceland","Jan",-0.5
"236","Iceland","Feb",0.4
"237","Iceland","Mar",0.5
"238","Iceland","Apr",2.9
"239","Iceland","May",6.3
"240","Iceland","Jun",9
"241","Iceland","Jul",10.6
"242","Iceland","Aug",10.3
"243","Iceland","Sep",7.4
"244","Iceland","Oct",4.4
"245","Iceland","Nov",1.1
"246","Iceland","Dec",-0.2
"247","Iceland","Year",4.3
"248","Ireland","Jan",5.3
"249","Ireland","Feb",5.3
"250","Ireland","Mar",6.8
"251","Ireland","Apr",8.3
"252","Ireland","May",10.9
"253","Ireland","Jun",13.6
"254","Ireland","Jul",15.6
"255","Ireland","Aug",15.3
"256","Ireland","Sep",13.4
"257","Ireland","Oct",10.5
"258","Ireland","Nov",7.4
"259","Ireland","Dec",5.6
"260","Ireland","Year",9.8
"261","Italy","Jan",2.5
"262","Italy","Feb",4.7
"263","Italy","Mar",9
"264","Italy","Apr",12.2
"265","Italy","May",17
"266","Italy","Jun",20.8
"267","Italy","Jul",23.6
"268","Italy","Aug",23
"269","Italy","Sep",19.2
"270","Italy","Oct",13.4
"271","Italy","Nov",7.2
"272","Italy","Dec",3.3
"273","Italy","Year",13
"274","Latvia","Jan",-4.7
"275","Latvia","Feb",-4.2
"276","Latvia","Mar",0.5
"277","Latvia","Apr",5.1
"278","Latvia","May",11.4
"279","Latvia","Jun",15.5
"280","Latvia","Jul",16.9
"281","Latvia","Aug",16.2
"282","Latvia","Sep",12
"283","Latvia","Oct",7.4
"284","Latvia","Nov",2.1
"285","Latvia","Dec",-2.3
"286","Latvia","Year",6.2
"287","Liechtenstein","Jan",0.8
"288","Liechtenstein","Feb",2.1
"289","Liechtenstein","Mar",6.3
"290","Liechtenstein","Apr",9.9
"291","Liechtenstein","May",14.4
"292","Liechtenstein","Jun",17.1
"293","Liechtenstein","Jul",19
"294","Liechtenstein","Aug",18.4
"295","Liechtenstein","Sep",14.9
"296","Liechtenstein","Oct",10.9
"297","Liechtenstein","Nov",5.2
"298","Liechtenstein","Dec",1.9
"299","Liechtenstein","Year",10.1
"300","Lithuania","Jan",-6.1
"301","Lithuania","Feb",-4.8
"302","Lithuania","Mar",-0.6
"303","Lithuania","Apr",5.7
"304","Lithuania","May",12.5
"305","Lithuania","Jun",15.8
"306","Lithuania","Jul",16.9
"307","Lithuania","Aug",16.3
"308","Lithuania","Sep",11.6
"309","Lithuania","Oct",6.6
"310","Lithuania","Nov",1.2
"311","Lithuania","Dec",-2.9
"312","Lithuania","Year",6
"313","Luxembourg","Jan",0.8
"314","Luxembourg","Feb",1.6
"315","Luxembourg","Mar",5.2
"316","Luxembourg","Apr",8.7
"317","Luxembourg","May",13
"318","Luxembourg","Jun",15.9
"319","Luxembourg","Jul",18.2
"320","Luxembourg","Aug",17.7
"321","Luxembourg","Sep",13.9
"322","Luxembourg","Oct",9.5
"323","Luxembourg","Nov",4.7
"324","Luxembourg","Dec",1.8
"325","Luxembourg","Year",9.3
"326","Macedonia","Jan",0.1
"327","Macedonia","Feb",2.6
"328","Macedonia","Mar",7.6
"329","Macedonia","Apr",12.1
"330","Macedonia","May",17.3
"331","Macedonia","Jun",21.5
"332","Macedonia","Jul",23.8
"333","Macedonia","Aug",23.8
"334","Macedonia","Sep",18.8
"335","Macedonia","Oct",13.1
"336","Macedonia","Nov",6.5
"337","Macedonia","Dec",1.7
"338","Macedonia","Year",12.4
"339","Malta","Jan",12.8
"340","Malta","Feb",12.8
"341","Malta","Mar",13.3
"342","Malta","Apr",15.6
"343","Malta","May",18.9
"344","Malta","Jun",22.8
"345","Malta","Jul",26.1
"346","Malta","Aug",26.7
"347","Malta","Sep",23.9
"348","Malta","Oct",21.1
"349","Malta","Nov",17.2
"350","Malta","Dec",13.9
"351","Malta","Year",18.8
"352","Moldova","Jan",-1.9
"353","Moldova","Feb",-0.8
"354","Moldova","Mar",3.7
"355","Moldova","Apr",10.4
"356","Moldova","May",16.5
"357","Moldova","Jun",19.9
"358","Moldova","Jul",22.1
"359","Moldova","Aug",21.7
"360","Moldova","Sep",16.3
"361","Moldova","Oct",10.5
"362","Moldova","Nov",4.1
"363","Moldova","Dec",-0.6
"364","Moldova","Year",10.2
"365","Monaco","Jan",10.2
"366","Monaco","Feb",10.2
"367","Monaco","Mar",12
"368","Monaco","Apr",13.8
"369","Monaco","May",17.5
"370","Monaco","Jun",20.9
"371","Monaco","Jul",23.8
"372","Monaco","Aug",24.2
"373","Monaco","Sep",21.1
"374","Monaco","Oct",17.9
"375","Monaco","Nov",13.8
"376","Monaco","Dec",11.2
"377","Monaco","Year",16.4
"378","Montenegro","Jan",5
"379","Montenegro","Feb",6.8
"380","Montenegro","Mar",10
"381","Montenegro","Apr",13.9
"382","Montenegro","May",19
"383","Montenegro","Jun",22.8
"384","Montenegro","Jul",26
"385","Montenegro","Aug",25.6
"386","Montenegro","Sep",21.4
"387","Montenegro","Oct",15.9
"388","Montenegro","Nov",10.5
"389","Montenegro","Dec",6.5
"390","Montenegro","Year",15.3
"391","Netherlands","Jan",3.4
"392","Netherlands","Feb",3.5
"393","Netherlands","Mar",6.1
"394","Netherlands","Apr",9.1
"395","Netherlands","May",12.9
"396","Netherlands","Jun",15.4
"397","Netherlands","Jul",17.6
"398","Netherlands","Aug",17.5
"399","Netherlands","Sep",14.7
"400","Netherlands","Oct",11
"401","Netherlands","Nov",7.1
"402","Netherlands","Dec",4
"403","Netherlands","Year",10.2
"404","Norway","Jan",-4.3
"405","Norway","Feb",-4
"406","Norway","Mar",-0.2
"407","Norway","Apr",4.5
"408","Norway","May",10.8
"409","Norway","Jun",15.2
"410","Norway","Jul",16.4
"411","Norway","Aug",15.2
"412","Norway","Sep",10.8
"413","Norway","Oct",6.3
"414","Norway","Nov",0.7
"415","Norway","Dec",-3.1
"416","Norway","Year",5.7
"417","Poland","Jan",-1
"418","Poland","Feb",0.4
"419","Poland","Mar",4.1
"420","Poland","Apr",9.8
"421","Poland","May",14.6
"422","Poland","Jun",18.3
"423","Poland","Jul",20
"424","Poland","Aug",19.2
"425","Poland","Sep",14.1
"426","Poland","Oct",9.2
"427","Poland","Nov",4.4
"428","Poland","Dec",0.2
"429","Poland","Year",9.3
"430","Poland.1","Jan",0
"431","Poland.1","Feb",1.1
"432","Poland.1","Mar",4.3
"433","Poland.1","Apr",9.7
"434","Poland.1","May",14.3
"435","Poland.1","Jun",17.7
"436","Poland.1","Jul",19.7
"437","Poland.1","Aug",19.3
"438","Poland.1","Sep",14.5
"439","Poland.1","Oct",9.6
"440","Poland.1","Nov",4.8
"441","Poland.1","Dec",1.1
"442","Poland.1","Year",9.6
"443","Portugal","Jan",11.6
"444","Portugal","Feb",12.7
"445","Portugal","Mar",14.9
"446","Portugal","Apr",15.9
"447","Portugal","May",18
"448","Portugal","Jun",21.2
"449","Portugal","Jul",23.1
"450","Portugal","Aug",23.5
"451","Portugal","Sep",22.1
"452","Portugal","Oct",18.8
"453","Portugal","Nov",15
"454","Portugal","Dec",12.4
"455","Portugal","Year",17.5
"456","Romania","Jan",-1.3
"457","Romania","Feb",0.4
"458","Romania","Mar",5.4
"459","Romania","Apr",11.2
"460","Romania","May",16.8
"461","Romania","Jun",20.6
"462","Romania","Jul",22.5
"463","Romania","Aug",22
"464","Romania","Sep",16.9
"465","Romania","Oct",11
"466","Romania","Nov",4.7
"467","Romania","Dec",0.2
"468","Romania","Year",10.8
"469","San Marino","Jan",2.7
"470","San Marino","Feb",4.2
"471","San Marino","Mar",6.4
"472","San Marino","Apr",10.1
"473","San Marino","May",14.6
"474","San Marino","Jun",18.5
"475","San Marino","Jul",21.3
"476","San Marino","Aug",21.4
"477","San Marino","Sep",17.8
"478","San Marino","Oct",12.8
"479","San Marino","Nov",8
"480","San Marino","Dec",4.2
"481","San Marino","Year",11.8
"482","Serbia","Jan",1.4
"483","Serbia","Feb",3.1
"484","Serbia","Mar",7.6
"485","Serbia","Apr",12.9
"486","Serbia","May",18.1
"487","Serbia","Jun",21
"488","Serbia","Jul",23
"489","Serbia","Aug",22.7
"490","Serbia","Sep",18
"491","Serbia","Oct",12.9
"492","Serbia","Nov",7.1
"493","Serbia","Dec",2.7
"494","Serbia","Year",12.5
"495","Slovakia","Jan",-0.4
"496","Slovakia","Feb",1.2
"497","Slovakia","Mar",5.5
"498","Slovakia","Apr",11
"499","Slovakia","May",16
"500","Slovakia","Jun",19.1
"501","Slovakia","Jul",21.3
"502","Slovakia","Aug",20.7
"503","Slovakia","Sep",15.9
"504","Slovakia","Oct",10.4
"505","Slovakia","Nov",4.9
"506","Slovakia","Dec",0.7
"507","Slovakia","Year",10.5
"508","Spain","Jan",11.8
"509","Spain","Feb",12.4
"510","Spain","Mar",14.2
"511","Spain","Apr",15.8
"512","Spain","May",19.3
"513","Spain","Jun",23
"514","Spain","Jul",25.7
"515","Spain","Aug",26.1
"516","Spain","Sep",23
"517","Spain","Oct",19.5
"518","Spain","Nov",14.9
"519","Spain","Dec",12.3
"520","Spain","Year",18.2
"521","Spain.1","Jan",11.8
"522","Spain.1","Feb",12.5
"523","Spain.1","Mar",14.6
"524","Spain.1","Apr",16.2
"525","Spain.1","May",19
"526","Spain.1","Jun",22.9
"527","Spain.1","Jul",25.6
"528","Spain.1","Aug",26.1
"529","Spain.1","Sep",23.5
"530","Spain.1","Oct",19.7
"531","Spain.1","Nov",15.3
"532","Spain.1","Dec",12.6
"533","Spain.1","Year",18.3
"534","Sweden","Jan",-2.8
"535","Sweden","Feb",-3
"536","Sweden","Mar",0.1
"537","Sweden","Apr",4.6
"538","Sweden","May",10.7
"539","Sweden","Jun",15.6
"540","Sweden","Jul",17.2
"541","Sweden","Aug",16.2
"542","Sweden","Sep",11.9
"543","Sweden","Oct",7.5
"544","Sweden","Nov",2.6
"545","Sweden","Dec",-1
"546","Sweden","Year",6.6
"547","Switzerland","Jan",0.3
"548","Switzerland","Feb",1.3
"549","Switzerland","Mar",5.3
"550","Switzerland","Apr",8.8
"551","Switzerland","May",13.3
"552","Switzerland","Jun",16.4
"553","Switzerland","Jul",18.6
"554","Switzerland","Aug",18
"555","Switzerland","Sep",14.1
"556","Switzerland","Oct",9.9
"557","Switzerland","Nov",4.4
"558","Switzerland","Dec",1.4
"559","Switzerland","Year",9.3
"560","Turkey","Jan",5.7
"561","Turkey","Feb",5.7
"562","Turkey","Mar",7
"563","Turkey","Apr",11.1
"564","Turkey","May",15.7
"565","Turkey","Jun",20.4
"566","Turkey","Jul",22.9
"567","Turkey","Aug",23.1
"568","Turkey","Sep",19.8
"569","Turkey","Oct",15.6
"570","Turkey","Nov",11.5
"571","Turkey","Dec",8
"572","Turkey","Year",13.9
"573","Ukraine","Jan",-3.5
"574","Ukraine","Feb",-3
"575","Ukraine","Mar",1.8
"576","Ukraine","Apr",9.3
"577","Ukraine","May",15.5
"578","Ukraine","Jun",18.5
"579","Ukraine","Jul",20.5
"580","Ukraine","Aug",19.7
"581","Ukraine","Sep",14.2
"582","Ukraine","Oct",8.4
"583","Ukraine","Nov",1.9
"584","Ukraine","Dec",-2.3
"585","Ukraine","Year",8.4
"586","United Kingdom","Jan",5.2
"587","United Kingdom","Feb",5.3
"588","United Kingdom","Mar",7.6
"589","United Kingdom","Apr",9.9
"590","United Kingdom","May",13.3
"591","United Kingdom","Jun",16.5
"592","United Kingdom","Jul",18.7
"593","United Kingdom","Aug",18.5
"594","United Kingdom","Sep",15.7
"595","United Kingdom","Oct",12
"596","United Kingdom","Nov",8
"597","United Kingdom","Dec",5.5
"598","United Kingdom","Year",11.3
