Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Germany,"0.6
(33.1)","2.3
(36.1)","5.1
(41.2)","10.2
(50.4)","14.8
(58.6)","17.9
(64.2)","20.3
(68.5)","19.7
(67.5)","15.3
(59.5)","10.5
(50.9)","6.0
(42.8)","1.3
(34.3)","10.3
(50.5)"
Greece,"10.2
(50.4)","10.9
(51.6)","13.2
(55.8)","16.9
(62.4)","21.8
(71.2)","26.6
(79.9)","29.3
(84.7)","29.3
(84.7)","25.0
(77.0)","20.1
(68.2)","15.5
(59.9)","11.5
(52.7)","19.2
(66.6)"
Hungary,"0.4
(32.7)","2.3
(36.1)","6.1
(43.0)","12.0
(53.6)","16.6
(61.9)","19.7
(67.5)","21.5
(70.7)","21.2
(70.2)","16.9
(62.4)","11.8
(53.2)","5.4
(41.7)","1.8
(35.2)","11.3
(52.3)"
Iceland,"−0.5
(31.1)","0.4
(32.7)","0.5
(32.9)","2.9
(37.2)","6.3
(43.3)","9.0
(48.2)","10.6
(51.1)","10.3
(50.5)","7.4
(45.3)","4.4
(39.9)","1.1
(34.0)","−0.2
(31.6)","4.3
(39.7)"
Ireland,"5.3
(41.5)","5.3
(41.5)","6.8
(44.2)","8.3
(46.9)","10.9
(51.6)","13.6
(56.5)","15.6
(60.1)","15.3
(59.5)","13.4
(56.1)","10.5
(50.9)","7.4
(45.3)","5.6
(42.1)","9.8
(49.6)"
Italy,"2.5
(36.5)","4.7
(40.5)","9.0
(48.2)","12.2
(54.0)","17.0
(62.6)","20.8
(69.4)","23.6
(74.5)","23.0
(73.4)","19.2
(66.6)","13.4
(56.1)","7.2
(45.0)","3.3
(37.9)","13.0
(55.4)"
Latvia,"−4.7
(23.5)","−4.2
(24.4)","0.5
(32.9)","5.1
(41.2)","11.4
(52.5)","15.5
(59.9)","16.9
(62.4)","16.2
(61.2)","12.0
(53.6)","7.4
(45.3)","2.1
(35.8)","−2.3
(27.9)","6.2
(43.2)"
Liechtenstein,"0.8
(33.4)","2.1
(35.8)","6.3
(43.3)","9.9
(49.8)","14.4
(57.9)","17.1
(62.8)","19.0
(66.2)","18.4
(65.1)","14.9
(58.8)","10.9
(51.6)","5.2
(41.4)","1.9
(35.4)","10.1
(50.2)"
Lithuania,"−6.1
(21.0)","−4.8
(23.4)","−0.6
(30.9)","5.7
(42.3)","12.5
(54.5)","15.8
(60.4)","16.9
(62.4)","16.3
(61.3)","11.6
(52.9)","6.6
(43.9)","1.2
(34.2)","−2.9
(26.8)","6.0
(42.8)"
Luxembourg,"0.8
(33.4)","1.6
(34.9)","5.2
(41.4)","8.7
(47.7)","13.0
(55.4)","15.9
(60.6)","18.2
(64.8)","17.7
(63.9)","13.9
(57.0)","9.5
(49.1)","4.7
(40.5)","1.8
(35.2)","9.3
(48.7)"
Macedonia,"0.1
(32.2)","2.6
(36.7)","7.6
(45.7)","12.1
(53.8)","17.3
(63.1)","21.5
(70.7)","23.8
(74.8)","23.8
(74.8)","18.8
(65.8)","13.1
(55.6)","6.5
(43.7)","1.7
(35.1)","12.4
(54.3)"
Malta,"12.8
(55.0)","12.8
(55.0)","13.3
(55.9)","15.6
(60.1)","18.9
(66.0)","22.8
(73.0)","26.1
(79.0)","26.7
(80.1)","23.9
(75.0)","21.1
(70.0)","17.2
(63.0)","13.9
(57.0)","18.8
(65.8)"
Moldova,"−1.9
(28.6)","−0.8
(30.6)","3.7
(38.7)","10.4
(50.7)","16.5
(61.7)","19.9
(67.8)","22.1
(71.8)","21.7
(71.1)","16.3
(61.3)","10.5
(50.9)","4.1
(39.4)","−0.6
(30.9)","10.2
(50.4)"
Monaco,"10.2
(50.4)","10.2
(50.4)","12.0
(53.6)","13.8
(56.8)","17.5
(63.5)","20.9
(69.6)","23.8
(74.8)","24.2
(75.6)","21.1
(70.0)","17.9
(64.2)","13.8
(56.8)","11.2
(52.2)","16.4
(61.5)"
Montenegro,"5.0
(41.0)","6.8
(44.2)","10.0
(50.0)","13.9
(57.0)","19.0
(66.2)","22.8
(73.0)","26.0
(78.8)","25.6
(78.1)","21.4
(70.5)","15.9
(60.6)","10.5
(50.9)","6.5
(43.7)","15.3
(59.5)"
Netherlands,"3.4
(38.1)","3.5
(38.3)","6.1
(43.0)","9.1
(48.4)","12.9
(55.2)","15.4
(59.7)","17.6
(63.7)","17.5
(63.5)","14.7
(58.5)","11.0
(51.8)","7.1
(44.8)","4.0
(39.2)","10.2
(50.4)"
Norway,"−4.3
(24.3)","−4.0
(24.8)","−0.2
(31.6)","4.5
(40.1)","10.8
(51.4)","15.2
(59.4)","16.4
(61.5)","15.2
(59.4)","10.8
(51.4)","6.3
(43.3)","0.7
(33.3)","−3.1
(26.4)","5.7
(42.3)"
Poland,"−1.0
(30.2)","0.4
(32.7)","4.1
(39.4)","9.8
(49.6)","14.6
(58.3)","18.3
(64.9)","20.0
(68.0)","19.2
(66.6)","14.1
(57.4)","9.2
(48.6)","4.4
(39.9)","0.2
(32.4)","9.3
(48.7)"
Poland,"0.0
(32.0)","1.1
(34.0)","4.3
(39.7)","9.7
(49.5)","14.3
(57.7)","17.7
(63.9)","19.7
(67.5)","19.3
(66.7)","14.5
(58.1)","9.6
(49.3)","4.8
(40.6)","1.1
(34.0)","9.6
(49.3)"
Portugal,"11.6
(52.9)","12.7
(54.9)","14.9
(58.8)","15.9
(60.6)","18.0
(64.4)","21.2
(70.2)","23.1
(73.6)","23.5
(74.3)","22.1
(71.8)","18.8
(65.8)","15.0
(59.0)","12.4
(54.3)","17.5
(63.5)"
Romania,"−1.3
(29.7)","0.4
(32.7)","5.4
(41.7)","11.2
(52.2)","16.8
(62.2)","20.6
(69.1)","22.5
(72.5)","22.0
(71.6)","16.9
(62.4)","11.0
(51.8)","4.7
(40.5)","0.2
(32.4)","10.8
(51.4)"
San Marino,"2.7
(36.9)","4.2
(39.6)","6.4
(43.5)","10.1
(50.2)","14.6
(58.3)","18.5
(65.3)","21.3
(70.3)","21.4
(70.5)","17.8
(64.0)","12.8
(55.0)","8.0
(46.4)","4.2
(39.6)","11.8
(53.2)"
Serbia,"1.4
(34.5)","3.1
(37.6)","7.6
(45.7)","12.9
(55.2)","18.1
(64.6)","21.0
(69.8)","23.0
(73.4)","22.7
(72.9)","18.0
(64.4)","12.9
(55.2)","7.1
(44.8)","2.7
(36.9)","12.5
(54.5)"
Slovakia,"−0.4
(31.3)","1.2
(34.2)","5.5
(41.9)","11.0
(51.8)","16.0
(60.8)","19.1
(66.4)","21.3
(70.3)","20.7
(69.3)","15.9
(60.6)","10.4
(50.7)","4.9
(40.8)","0.7
(33.3)","10.5
(50.9)"
Spain,"11.8
(53.2)","12.4
(54.3)","14.2
(57.6)","15.8
(60.4)","19.3
(66.7)","23.0
(73.4)","25.7
(78.3)","26.1
(79.0)","23.0
(73.4)","19.5
(67.1)","14.9
(58.8)","12.3
(54.1)","18.2
(64.8)"
Spain,"11.8
(53.2)","12.5
(54.5)","14.6
(58.3)","16.2
(61.2)","19.0
(66.2)","22.9
(73.2)","25.6
(78.1)","26.1
(79.0)","23.5
(74.3)","19.7
(67.5)","15.3
(59.5)","12.6
(54.7)","18.3
(64.9)"
Sweden,"−2.8
(27.0)","−3.0
(26.6)","0.1
(32.2)","4.6
(40.3)","10.7
(51.3)","15.6
(60.1)","17.2
(63.0)","16.2
(61.2)","11.9
(53.4)","7.5
(45.5)","2.6
(36.7)","−1.0
(30.2)","6.6
(43.9)"
Switzerland,"0.3
(32.5)","1.3
(34.3)","5.3
(41.5)","8.8
(47.8)","13.3
(55.9)","16.4
(61.5)","18.6
(65.5)","18.0
(64.4)","14.1
(57.4)","9.9
(49.8)","4.4
(39.9)","1.4
(34.5)","9.3
(48.7)"
Turkey,"5.7
(42.3)","5.7
(42.3)","7.0
(44.6)","11.1
(52.0)","15.7
(60.3)","20.4
(68.7)","22.9
(73.2)","23.1
(73.6)","19.8
(67.6)","15.6
(60.1)","11.5
(52.7)","8.0
(46.4)","13.9
(57.0)"
Ukraine,"−3.5
(25.7)","−3.0
(26.6)","1.8
(35.2)","9.3
(48.7)","15.5
(59.9)","18.5
(65.3)","20.5
(68.9)","19.7
(67.5)","14.2
(57.6)","8.4
(47.1)","1.9
(35.4)","−2.3
(27.9)","8.4
(47.1)"
United Kingdom,"5.2
(41.4)","5.3
(41.5)","7.6
(45.7)","9.9
(49.8)","13.3
(55.9)","16.5
(61.7)","18.7
(65.7)","18.5
(65.3)","15.7
(60.3)","12.0
(53.6)","8.0
(46.4)","5.5
(41.9)","11.3
(52.3)"
