,Country,Month,Temp
75,Bosnia and Herzegovina,3,11
76,Bosnia and Herzegovina,4,5.4
77,Bosnia and Herzegovina,5,0.9
78,Bosnia and Herzegovina,6,10.1
79,Bulgaria,7,-0.5
80,Bulgaria,8,1.1
81,Bulgaria,9,5.4
82,Bulgaria,10,10.6
83,Bulgaria,11,15.4
84,Bulgaria,12,18.9
85,Bulgaria,1,21.2
86,Bulgaria,2,21
87,Bulgaria,3,16.5
88,Bulgaria,4,11.3
89,Bulgaria,5,5.1
90,Bulgaria,6,0.7
91,Bulgaria,7,10.6
92,Croatia,8,0.3
93,Croatia,9,2.3
94,Croatia,10,6.4
95,Croatia,11,10.7
96,Croatia,12,15.8
97,Croatia,1,18.8
98,Croatia,2,20.6
99,Croatia,3,20.1
100,Croatia,4,15.9
101,Croatia,5,10.5
102,Croatia,6,5
103,Croatia,7,1.4
104,Croatia,8,10.7
105,Cyprus,9,10.6
106,Cyprus,10,10.6
107,Cyprus,11,13.1
108,Cyprus,12,17.1
109,Cyprus,1,22.3
110,Cyprus,2,26.9
111,Cyprus,3,29.7
112,Cyprus,4,29.4
113,Cyprus,5,26.2
114,Cyprus,6,22.3
115,Cyprus,7,16.3
116,Cyprus,8,12
117,Cyprus,9,19.7
118,Czech Republic,10,-1.4
119,Czech Republic,11,-0.4
120,Czech Republic,12,3.6
121,Czech Republic,1,8.4
122,Czech Republic,2,13.4
123,Czech Republic,3,16.1
124,Czech Republic,4,18.2
125,Czech Republic,5,17.8
126,Czech Republic,6,13.5
127,Czech Republic,7,8.5
128,Czech Republic,8,3.1
129,Czech Republic,9,-0.3
130,Czech Republic,10,8.4
131,Denmark,11,1.4
132,Denmark,12,1.4
133,Denmark,1,3.5
134,Denmark,2,7.7
135,Denmark,3,12.5
136,Denmark,4,15.6
137,Denmark,5,18.1
138,Denmark,6,17.7
139,Denmark,7,13.9
140,Denmark,8,9.8
141,Denmark,9,5.5
142,Denmark,10,2.5
143,Denmark,11,9.1
144,Estonia,12,-2.9
145,Estonia,1,-3.6
146,Estonia,2,-0.6
147,Estonia,3,4.8
148,Estonia,4,10.2
149,Estonia,5,14.5
150,Estonia,6,17.6
151,Estonia,7,16.5
152,Estonia,8,12
153,Estonia,9,6.5
154,Estonia,10,2
155,Estonia,11,-0.9
156,Estonia,12,6.4
157,Finland,1,-3.9
158,Finland,2,-4.7
159,Finland,3,-1.3
160,Finland,4,3.9
161,Finland,5,10.2
162,Finland,6,14.6
163,Finland,7,17.8
164,Finland,8,16.3
165,Finland,9,11.5
166,Finland,10,6.6
167,Finland,11,1.6
168,Finland,12,-2
169,Finland,1,5.9
170,France,2,7.1
171,France,3,7.8
172,France,4,10.7
173,France,5,13
174,France,6,16.6
175,France,7,19.8
176,France,8,21.7
177,France,9,21.9
178,France,10,18.8
179,France,11,15.2
180,France,12,10.4
181,France,1,7.7
182,France,2,14.2
183,France.1,3,4.9
184,France.1,4,5.6
185,France.1,5,8.8
186,France.1,6,11.4
187,France.1,7,15.1
188,France.1,8,18.2
189,France.1,9,20.4
190,France.1,10,20.2
191,France.1,11,16.9
192,France.1,12,12.9
193,France.1,1,8.1
194,France.1,2,5.4
195,France.1,3,12.3
196,Germany,4,0.6
197,Germany,5,2.3
198,Germany,6,5.1
199,Germany,7,10.2
200,Germany,8,14.8
201,Germany,9,17.9
202,Germany,10,20.3
203,Germany,11,19.7
204,Germany,12,15.3
205,Germany,1,10.5
206,Germany,2,6
207,Germany,3,1.3
208,Germany,4,10.3
209,Greece,5,10.2
210,Greece,6,10.9
211,Greece,7,13.2
212,Greece,8,16.9
213,Greece,9,21.8
214,Greece,10,26.6
215,Greece,11,29.3
216,Greece,12,29.3
217,Greece,1,25
218,Greece,2,20.1
219,Greece,3,15.5
220,Greece,4,11.5
221,Greece,5,19.2
222,Hungary,6,0.4
223,Hungary,7,2.3
224,Hungary,8,6.1
225,Hungary,9,12
226,Hungary,10,16.6
227,Hungary,11,19.7
228,Hungary,12,21.5
229,Hungary,1,21.2
230,Hungary,2,16.9
231,Hungary,3,11.8
232,Hungary,4,5.4
233,Hungary,5,1.8
234,Hungary,6,11.3
235,Iceland,7,-0.5
236,Iceland,8,0.4
237,Iceland,9,0.5
238,Iceland,10,2.9
239,Iceland,11,6.3
240,Iceland,12,9
241,Iceland,1,10.6
242,Iceland,2,10.3
243,Iceland,3,7.4
244,Iceland,4,4.4
245,Iceland,5,1.1
246,Iceland,6,-0.2
247,Iceland,7,4.3
248,Ireland,8,5.3
249,Ireland,9,5.3
250,Ireland,10,6.8
251,Ireland,11,8.3
252,Ireland,12,10.9
253,Ireland,1,13.6
254,Ireland,2,15.6
255,Ireland,3,15.3
256,Ireland,4,13.4
257,Ireland,5,10.5
258,Ireland,6,7.4
259,Ireland,7,5.6
260,Ireland,8,9.8
261,Italy,9,2.5
262,Italy,10,4.7
263,Italy,11,9
264,Italy,12,12.2
265,Italy,1,17
266,Italy,2,20.8
267,Italy,3,23.6
268,Italy,4,23
269,Italy,5,19.2
270,Italy,6,13.4
271,Italy,7,7.2
272,Italy,8,3.3
273,Italy,9,13
274,Latvia,10,-4.7
275,Latvia,11,-4.2
276,Latvia,12,0.5
277,Latvia,1,5.1
278,Latvia,2,11.4
279,Latvia,3,15.5
280,Latvia,4,16.9
281,Latvia,5,16.2
282,Latvia,6,12
283,Latvia,7,7.4
284,Latvia,8,2.1
285,Latvia,9,-2.3
286,Latvia,10,6.2
287,Liechtenstein,11,0.8
288,Liechtenstein,12,2.1
289,Liechtenstein,1,6.3
290,Liechtenstein,2,9.9
291,Liechtenstein,3,14.4
292,Liechtenstein,4,17.1
293,Liechtenstein,5,19
294,Liechtenstein,6,18.4
295,Liechtenstein,7,14.9
296,Liechtenstein,8,10.9
297,Liechtenstein,9,5.2
298,Liechtenstein,10,1.9
299,Liechtenstein,11,10.1
300,Lithuania,12,-6.1
301,Lithuania,1,-4.8
302,Lithuania,2,-0.6
303,Lithuania,3,5.7
304,Lithuania,4,12.5
305,Lithuania,5,15.8
306,Lithuania,6,16.9
307,Lithuania,7,16.3
308,Lithuania,8,11.6
309,Lithuania,9,6.6
310,Lithuania,10,1.2
311,Lithuania,11,-2.9
312,Lithuania,12,6
313,Luxembourg,1,0.8
314,Luxembourg,2,1.6
315,Luxembourg,3,5.2
316,Luxembourg,4,8.7
317,Luxembourg,5,13
318,Luxembourg,6,15.9
319,Luxembourg,7,18.2
320,Luxembourg,8,17.7
321,Luxembourg,9,13.9
322,Luxembourg,10,9.5
323,Luxembourg,11,4.7
324,Luxembourg,12,1.8
325,Luxembourg,1,9.3
326,Macedonia,2,0.1
327,Macedonia,3,2.6
328,Macedonia,4,7.6
329,Macedonia,5,12.1
330,Macedonia,6,17.3
331,Macedonia,7,21.5
332,Macedonia,8,23.8
333,Macedonia,9,23.8
334,Macedonia,10,18.8
335,Macedonia,11,13.1
336,Macedonia,12,6.5
337,Macedonia,1,1.7
338,Macedonia,2,12.4
339,Malta,3,12.8
340,Malta,4,12.8
341,Malta,5,13.3
342,Malta,6,15.6
343,Malta,7,18.9
344,Malta,8,22.8
345,Malta,9,26.1
346,Malta,10,26.7
347,Malta,11,23.9
348,Malta,12,21.1
349,Malta,1,17.2
350,Malta,2,13.9
351,Malta,3,18.8
352,Moldova,4,-1.9
353,Moldova,5,-0.8
354,Moldova,6,3.7
355,Moldova,7,10.4
356,Moldova,8,16.5
357,Moldova,9,19.9
358,Moldova,10,22.1
359,Moldova,11,21.7
360,Moldova,12,16.3
361,Moldova,1,10.5
362,Moldova,2,4.1
363,Moldova,3,-0.6
364,Moldova,4,10.2
365,Monaco,5,10.2
366,Monaco,6,10.2
367,Monaco,7,12
368,Monaco,8,13.8
369,Monaco,9,17.5
370,Monaco,10,20.9
371,Monaco,11,23.8
372,Monaco,12,24.2
373,Monaco,1,21.1
374,Monaco,2,17.9
375,Monaco,3,13.8
376,Monaco,4,11.2
377,Monaco,5,16.4
378,Montenegro,6,5
379,Montenegro,7,6.8
380,Montenegro,8,10
381,Montenegro,9,13.9
382,Montenegro,10,19
383,Montenegro,11,22.8
384,Montenegro,12,26
385,Montenegro,1,25.6
386,Montenegro,2,21.4
387,Montenegro,3,15.9
388,Montenegro,4,10.5
389,Montenegro,5,6.5
390,Montenegro,6,15.3
391,Netherlands,7,3.4
392,Netherlands,8,3.5
393,Netherlands,9,6.1
394,Netherlands,10,9.1
395,Netherlands,11,12.9
396,Netherlands,12,15.4
397,Netherlands,1,17.6
398,Netherlands,2,17.5
399,Netherlands,3,14.7
400,Netherlands,4,11
401,Netherlands,5,7.1
402,Netherlands,6,4
403,Netherlands,7,10.2
404,Norway,8,-4.3
405,Norway,9,-4
406,Norway,10,-0.2
407,Norway,11,4.5
408,Norway,12,10.8
409,Norway,1,15.2
410,Norway,2,16.4
411,Norway,3,15.2
412,Norway,4,10.8
413,Norway,5,6.3
414,Norway,6,0.7
415,Norway,7,-3.1
416,Norway,8,5.7
417,Poland,9,-1
418,Poland,10,0.4
419,Poland,11,4.1
420,Poland,12,9.8
421,Poland,1,14.6
422,Poland,2,18.3
423,Poland,3,20
424,Poland,4,19.2
425,Poland,5,14.1
426,Poland,6,9.2
427,Poland,7,4.4
428,Poland,8,0.2
429,Poland,9,9.3
430,Poland.1,10,0
431,Poland.1,11,1.1
432,Poland.1,12,4.3
433,Poland.1,1,9.7
434,Poland.1,2,14.3
435,Poland.1,3,17.7
436,Poland.1,4,19.7
437,Poland.1,5,19.3
438,Poland.1,6,14.5
439,Poland.1,7,9.6
440,Poland.1,8,4.8
441,Poland.1,9,1.1
442,Poland.1,10,9.6
443,Portugal,11,11.6
444,Portugal,12,12.7
445,Portugal,1,14.9
446,Portugal,2,15.9
447,Portugal,3,18
448,Portugal,4,21.2
449,Portugal,5,23.1
450,Portugal,6,23.5
451,Portugal,7,22.1
452,Portugal,8,18.8
453,Portugal,9,15
454,Portugal,10,12.4
455,Portugal,11,17.5
456,Romania,12,-1.3
457,Romania,1,0.4
458,Romania,2,5.4
459,Romania,3,11.2
460,Romania,4,16.8
461,Romania,5,20.6
462,Romania,6,22.5
463,Romania,7,22
464,Romania,8,16.9
465,Romania,9,11
466,Romania,10,4.7
467,Romania,11,0.2
468,Romania,12,10.8
469,San Marino,1,2.7
470,San Marino,2,4.2
471,San Marino,3,6.4
472,San Marino,4,10.1
473,San Marino,5,14.6
474,San Marino,6,18.5
475,San Marino,7,21.3
476,San Marino,8,21.4
477,San Marino,9,17.8
478,San Marino,10,12.8
479,San Marino,11,8
480,San Marino,12,4.2
481,San Marino,1,11.8
482,Serbia,2,1.4
483,Serbia,3,3.1
484,Serbia,4,7.6
485,Serbia,5,12.9
486,Serbia,6,18.1
487,Serbia,7,21
488,Serbia,8,23
489,Serbia,9,22.7
490,Serbia,10,18
491,Serbia,11,12.9
492,Serbia,12,7.1
493,Serbia,1,2.7
494,Serbia,2,12.5
495,Slovakia,3,-0.4
496,Slovakia,4,1.2
497,Slovakia,5,5.5
498,Slovakia,6,11
499,Slovakia,7,16
500,Slovakia,8,19.1
501,Slovakia,9,21.3
502,Slovakia,10,20.7
503,Slovakia,11,15.9
504,Slovakia,12,10.4
505,Slovakia,1,4.9
506,Slovakia,2,0.7
507,Slovakia,3,10.5
508,Spain,4,11.8
509,Spain,5,12.4
510,Spain,6,14.2
511,Spain,7,15.8
512,Spain,8,19.3
513,Spain,9,23
514,Spain,10,25.7
515,Spain,11,26.1
516,Spain,12,23
517,Spain,1,19.5
518,Spain,2,14.9
519,Spain,3,12.3
520,Spain,4,18.2
521,Spain.1,5,11.8
522,Spain.1,6,12.5
523,Spain.1,7,14.6
524,Spain.1,8,16.2
525,Spain.1,9,19
526,Spain.1,10,22.9
527,Spain.1,11,25.6
528,Spain.1,12,26.1
529,Spain.1,1,23.5
530,Spain.1,2,19.7
531,Spain.1,3,15.3
532,Spain.1,4,12.6
533,Spain.1,5,18.3
534,Sweden,6,-2.8
535,Sweden,7,-3
536,Sweden,8,0.1
537,Sweden,9,4.6
538,Sweden,10,10.7
539,Sweden,11,15.6
540,Sweden,12,17.2
541,Sweden,1,16.2
542,Sweden,2,11.9
543,Sweden,3,7.5
544,Sweden,4,2.6
545,Sweden,5,-1
546,Sweden,6,6.6
547,Switzerland,7,0.3
548,Switzerland,8,1.3
549,Switzerland,9,5.3
550,Switzerland,10,8.8
551,Switzerland,11,13.3
552,Switzerland,12,16.4
553,Switzerland,1,18.6
554,Switzerland,2,18
555,Switzerland,3,14.1
556,Switzerland,4,9.9
557,Switzerland,5,4.4
558,Switzerland,6,1.4
559,Switzerland,7,9.3
560,Turkey,8,5.7
561,Turkey,9,5.7
562,Turkey,10,7
563,Turkey,11,11.1
564,Turkey,12,15.7
565,Turkey,1,20.4
566,Turkey,2,22.9
567,Turkey,3,23.1
568,Turkey,4,19.8
569,Turkey,5,15.6
570,Turkey,6,11.5
571,Turkey,7,8
572,Turkey,8,13.9
573,Ukraine,9,-3.5
574,Ukraine,10,-3
575,Ukraine,11,1.8
576,Ukraine,12,9.3
577,Ukraine,1,15.5
578,Ukraine,2,18.5
579,Ukraine,3,20.5
580,Ukraine,4,19.7
581,Ukraine,5,14.2
582,Ukraine,6,8.4
583,Ukraine,7,1.9
584,Ukraine,8,-2.3
585,Ukraine,9,8.4
586,United Kingdom,10,5.2
587,United Kingdom,11,5.3
588,United Kingdom,12,7.6
589,United Kingdom,1,9.9
590,United Kingdom,2,13.3
591,United Kingdom,3,16.5
592,United Kingdom,4,18.7
593,United Kingdom,5,18.5
594,United Kingdom,6,15.7
595,United Kingdom,7,12
596,United Kingdom,8,8
597,United Kingdom,9,5.5
598,United Kingdom,10,11.3
